bin_index,bad_r_ch1,bad_r_ch2,bad_r_ch3,ppg_issue,ppg_issue_text,p_begin_ch1,p_begin_ch2,p_begin_ch3,q_begin_ch1,q_begin_ch2,q_begin_ch3,t_begin_ch1,t_begin_ch2,t_begin_ch3,t_end_ch1,t_end_ch2,t_end_ch3,ppg_onset,ppg_peak,ppg_dicrotic,ppg_50,ppg_end,p_begin_ch1_sec,p_begin_ch2_sec,p_begin_ch3_sec,q_begin_ch1_sec,q_begin_ch2_sec,q_begin_ch3_sec,t_begin_ch1_sec,t_begin_ch2_sec,t_begin_ch3_sec,t_end_ch1_sec,t_end_ch2_sec,t_end_ch3_sec,ppg_onset_sec,ppg_peak_sec,ppg_dicrotic_sec,ppg_50_sec,ppg_end_sec
33,0,1,1,0,ok,63,,,122,,,326,,,339,,,5,191,830,88,833,0.063,,,0.122,,,0.326,,,0.339,,,0.005,0.191,0.83,0.088,0.833
34,0,1,1,0,ok,59,,,120,,,331,,,349,,,9,199,829,91,832,0.059,,,0.12,,,0.331,,,0.349,,,0.009,0.199,0.829,0.091,0.832
35,0,1,1,0,ok,63,,,128,,,343,,,333,,,5,187,889,88,917,0.063,,,0.128,,,0.343,,,0.333,,,0.005,0.187,0.889,0.088,0.917
36,0,1,1,0,ok,64,,,121,,,317,,,355,,,5,204,809,89,830,0.064,,,0.121,,,0.317,,,0.355,,,0.005,0.204,0.809,0.089,0.83
37,0,1,1,0,ok,65,,,126,,,321,,,340,,,5,191,848,89,886,0.065,,,0.126,,,0.321,,,0.34,,,0.005,0.191,0.848,0.089,0.886
38,0,1,1,0,ok,64,,,120,,,302,,,314,,,6,203,891,87,921,0.064,,,0.12,,,0.302,,,0.314,,,0.006,0.203,0.891,0.087,0.921
39,0,1,1,0,ok,64,,,124,,,317,,,334,,,5,200,871,87,875,0.064,,,0.124,,,0.317,,,0.334,,,0.005,0.2,0.871,0.087,0.875
40,0,1,1,0,ok,64,,,124,,,313,,,318,,,10,207,879,87,892,0.064,,,0.124,,,0.313,,,0.318,,,0.01,0.207,0.879,0.087,0.892
41,0,1,1,0,ok,56,,,117,,,309,,,498,,,19,188,852,89,900,0.056,,,0.117,,,0.309,,,0.498,,,0.019,0.188,0.852,0.089,0.9
42,0,1,1,0,ok,55,,,113,,,303,,,300,,,22,185,850,86,864,0.055,,,0.113,,,0.303,,,0.3,,,0.022,0.185,0.85,0.086,0.864
43,0,1,1,0,ok,62,,,121,,,327,,,504,,,3,179,826,82,831,0.062,,,0.121,,,0.327,,,0.504,,,0.003,0.179,0.826,0.082,0.831
44,0,1,1,0,ok,49,,,107,,,314,,,306,,,4,167,814,81,829,0.049,,,0.107,,,0.314,,,0.306,,,0.004,0.167,0.814,0.081,0.829
45,0,1,1,0,ok,53,,,117,,,311,,,352,,,5,179,810,84,816,0.053,,,0.117,,,0.311,,,0.352,,,0.005,0.179,0.81,0.084,0.816
46,0,1,1,0,ok,49,,,110,,,306,,,318,,,8,172,810,81,837,0.049,,,0.11,,,0.306,,,0.318,,,0.008,0.172,0.81,0.081,0.837
