SegmentIndex,ECG_R_Peak_1Based,PPG_Systolic_Peak_1Based
5,8919,8770
5,9171,9029
5,9426,9280
5,9682,9536
5,9940,9793
5,10195,10050
5,10445,10306
5,10694,10555
5,10938,10809
5,11186,11059
5,11430,11295
5,11669,11540
5,11911,11772
5,12161,12006
5,12415,12248
5,12658,12500
5,12903,12751
5,13156,12997
5,13339,13244
5,13657,13407
5,13912,13746
5,14167,14015
5,14419,14273
5,14675,14527
5,14932,14787
5,15192,15041
5,,15305
6,91,1.84467e+19
6,352,196
6,614,460
6,873,720
6,1132,983
6,1395,1243
6,1651,1507
6,1910,1757
6,2170,2024
6,2427,2279
6,2687,2538
6,2948,2797
6,3207,3061
6,3464,3319
6,3724,3580
6,3983,3836
6,4239,4096
6,4498,4354
6,4752,4611
6,5007,4863
6,5265,5119
6,5526,5383
6,5785,5640
6,6042,5898
6,6297,6157
6,6554,6410
6,6812,6669
6,7072,6927
6,7347,7186
6,7587,7454
6,7847,7690
6,8108,7955
6,8368,8218
6,8630,8480
6,8890,8741
6,9150,9003
6,9411,9260
6,9672,9523
6,9930,9780
6,10191,10041
6,10447,10305
6,10702,10556
6,10954,10812
6,11208,11067
6,11461,11314
6,11717,11571
6,11967,11823
6,12213,12074
6,12464,12306
6,12715,12559
6,12973,12823
6,13227,13079
6,13479,13339
6,13724,13595
6,13966,13841
6,14216,14079
6,14468,14328
6,14725,14576
6,14991,14836
6,15251,15100
6,,15357
7,151,1.84467e+19
7,413,262
7,679,527
7,939,792
7,1196,1050
7,1399,1309
7,1456,1571
7,1709,1822
7,1841,2073
7,1966,2320
7,2219,2561
7,2467,2804
7,2605,3050
7,2725,3307
7,2963,3559
7,3070,3800
7,3207,4060
7,3297,4312
7,3456,4549
7,3704,4785
7,3949,5043
7,4192,5287
7,4429,5547
7,4675,5805
7,4922,6068
7,5174,6328
7,5433,6595
7,5694,6861
7,5953,7127
7,6214,7389
7,6481,7656
7,6746,7915
7,7009,8173
7,7274,8438
7,7539,8693
7,7800,8949
7,8059,9205
7,8320,9460
7,8509,9721
7,8832,9973
7,9091,10232
7,9345,10488
7,9605,10747
7,9861,10995
7,10118,11260
7,10374,11512
7,10633,11766
7,10888,12013
7,11143,12254
7,11398,12495
7,11651,12741
7,11902,12993
7,12144,13249
7,12385,13501
7,12633,13756
7,12882,14008
7,13132,14266
7,13386,14529
7,13643,14787
7,13900,15046
7,14157,15305
7,14418,
7,14678,
7,14934,
7,15195,
8,98,1.84467e+19
8,355,216
8,617,471
8,883,731
8,1144,999
8,1405,1255
8,1674,1520
8,1937,1788
8,2198,2051
8,2461,2312
8,2723,2571
8,2980,2836
8,3239,3094
8,3501,3353
8,3762,3618
8,4020,3875
8,4281,4134
8,4542,4393
8,4798,4654
8,5058,4913
8,5319,5171
8,5574,5432
8,5832,5688
8,6093,5947
8,6350,6204
8,6609,6462
8,6870,6720
8,7131,6986
8,7388,7245
8,7646,7501
8,7907,7758
8,8163,8018
8,8419,8273
8,8681,8531
8,8943,8793
8,9204,9056
8,9465,9318
8,9732,9578
8,9992,9845
8,10253,10102
8,10518,10370
8,10781,10632
8,11041,10894
8,11306,11155
8,11568,11419
8,11828,11685
8,12087,11942
8,12350,12204
8,12615,12465
8,12876,12728
8,13138,12987
8,13403,13253
8,13663,13515
8,13928,13775
8,14189,14042
8,14451,14301
8,14717,14564
8,14983,14828
8,15244,15093
8,,15355
9,146,1.84467e+19
9,412,260
9,673,524
9,932,785
9,1192,1047
9,1448,1305
9,1703,1562
9,1958,1815
9,2213,2067
9,2472,2323
9,2732,2583
9,2990,2847
9,3250,3104
9,3510,3369
9,3765,3624
9,4021,3878
9,4280,4139
9,4537,4396
9,4791,4648
9,5046,4904
9,5305,5161
9,5557,5420
9,5810,5667
9,6061,5917
9,6305,6165
9,6542,6419
9,6789,6657
9,7035,6897
9,7287,7144
9,7557,7397
9,7804,7668
9,8060,7912
9,8324,8171
9,8577,8435
9,8831,8688
9,9089,8943
9,9346,9202
9,9600,9458
9,9854,9706
9,10112,9965
9,10369,10226
9,10624,10479
9,10882,10732
9,11144,10997
9,11401,11254
9,11663,11513
9,11924,11777
9,12182,12039
9,12439,12293
9,12703,12557
9,12963,12817
9,13220,13077
9,13481,13334
9,13742,13592
9,13997,13853
9,14256,14107
9,14515,14367
9,14771,14623
9,15028,14882
9,15289,15143
10,190,42
10,451,300
10,717,564
10,977,826
10,1236,1086
10,1499,1348
10,1759,1613
10,2018,1870
10,2280,2127
10,2541,2392
10,2799,2649
10,3061,2910
10,3322,3173
10,3578,3432
10,3837,3691
10,4094,3949
10,4349,4205
10,4606,4461
10,4864,4718
10,5122,4977
10,5377,5236
10,5635,5491
10,5899,5754
10,6159,6012
10,6416,6271
10,6677,6527
10,6938,6794
10,7203,7054
10,7467,7319
10,7724,7581
10,7985,7837
10,8246,8098
10,8506,8359
10,8766,8617
10,9027,8879
10,9283,9139
10,9543,9397
10,9805,9658
10,10064,9916
10,10325,10175
10,10586,10434
10,10845,10697
10,11102,10957
10,11365,11212
10,11623,11477
10,11878,11734
10,12139,11989
10,12401,12250
10,12657,12511
10,12767,12770
10,12915,13027
10,12988,13277
10,13167,13533
10,13424,13788
10,13681,14054
10,13941,14309
10,14199,14564
10,14456,14828
10,14715,15086
10,14976,15351
10,15236,
11,132,1.84467e+19
11,200,243
11,285,502
11,388,754
11,461,1011
11,644,1254
11,897,1498
11,1141,1742
11,1383,1989
11,1629,2248
11,1882,2509
11,2139,2766
11,2399,3025
11,2655,3290
11,2914,3549
11,3178,3815
11,3440,4082
11,3701,4343
11,3968,4604
11,4235,4878
11,4498,5139
11,4766,5405
11,5029,5668
11,5293,5934
11,5560,6199
11,5825,6469
11,6088,6733
11,6357,6997
11,6624,7262
11,6887,7535
11,7152,7796
11,7418,8056
11,7680,8325
11,7943,8584
11,8209,8844
11,8470,9107
11,8729,9361
11,8991,9616
11,9252,9879
11,9509,10144
11,9765,10393
11,10026,10653
11,10284,10911
11,10541,11165
11,10797,11433
11,11055,11685
11,11317,11946
11,11577,12198
11,11837,12464
11,12093,12716
11,12353,12978
11,12608,13232
11,12863,13485
11,13119,13734
11,13373,13991
11,13624,14246
11,13878,14502
11,14137,14755
11,14388,15014
11,14644,15269
11,14903,
11,15159,
12,54,163
12,313,423
12,564,674
12,819,933
12,1074,1187
12,1329,1445
12,1585,1702
12,1844,1961
12,2103,2216
12,2360,2475
12,2621,2733
12,2884,2996
12,3143,3260
12,3407,3519
12,3669,3782
12,3929,4040
12,4188,4300
12,4439,4550
12,4698,4805
12,4944,5052
12,5185,5294
12,5430,5535
12,5680,5790
12,5930,6044
12,6190,6306
12,6451,6557
12,6711,6819
12,6971,7080
12,7236,7348
12,7493,7606
12,7753,7863
12,8012,8122
12,8268,8379
12,8517,8628
12,8768,8874
12,9021,9131
12,9273,9385
12,9528,9636
12,9783,9895
12,10042,10157
12,10299,10412
12,10563,10676
12,10824,10937
12,11085,11199
12,11342,11454
12,11602,11719
12,11867,11983
12,12133,12249
12,12395,12511
12,12661,12771
12,12923,13036
12,13187,13304
12,13453,13569
12,13716,13828
12,13981,14093
12,14245,14362
12,14507,14622
12,14773,14888
12,15039,15151
12,15299,
13,204,51
13,462,316
13,726,578
13,989,839
13,1249,1103
13,1510,1359
13,1771,1620
13,2030,1882
13,2291,2140
13,2553,2401
13,2811,2667
13,3072,2922
13,3330,3180
13,3589,3440
13,3846,3703
13,4109,3961
13,4365,4224
13,4621,4481
13,4881,4739
13,5136,4996
13,5388,5244
13,5636,5502
13,5878,5747
13,6128,5990
13,6381,6238
13,6636,6489
13,6899,6749
13,7162,7011
13,7421,7274
13,7680,7535
13,7947,7794
13,8214,8057
13,8475,8325
13,8738,8585
13,9005,8851
13,9270,9117
13,9532,9382
13,9796,9645
13,10061,9906
13,10320,10169
13,10580,10433
13,10842,10693
13,11101,10954
13,11363,11210
13,11628,11471
13,11890,11739
13,12150,11997
13,12411,12263
13,12673,12522
13,12933,12787
13,13193,13045
13,13450,13304
13,13703,13563
13,13954,13813
13,14212,14067
13,14468,14325
13,14720,14578
13,14979,14822
13,15236,15075
13,,15338
14,130,1.84467e+19
14,382,238
14,629,491
14,887,741
14,1152,999
14,1421,1250
14,1693,1511
14,1965,1789
14,2233,2056
14,2504,2325
14,2780,2599
14,3051,2870
14,3325,3158
14,3592,3428
14,3864,3701
14,4140,3973
14,4408,4256
14,4680,4516
14,4952,4793
14,5218,5060
14,5490,5328
14,5760,5598
14,6026,5877
14,6294,6138
14,6565,6408
14,6831,6681
14,7098,6947
14,7363,7212
14,7629,7481
14,7893,7744
14,8158,8007
14,8422,8272
14,8685,8540
14,8950,8800
14,9207,9064
14,9467,9316
14,9728,9580
14,9990,9844
14,10249,10104
14,10505,10361
14,10769,10618
14,11027,10880
14,11285,11142
14,11544,11401
14,11803,11659
14,12068,11916
14,12334,12182
14,12596,12444
14,12859,12709
14,13122,12966
14,13381,13235
14,13641,13490
14,13903,13757
14,14165,14015
14,14427,14276
14,14689,14540
14,14952,14802
14,15212,15071
14,,15327
15,109,1.84467e+19
15,372,227
15,442,491
15,634,752
15,731,1007
15,892,1267
15,1150,1522
15,1410,1784
15,1671,2040
15,1927,2297
15,2185,2560
15,2446,2816
15,2703,3076
15,2962,3336
15,3219,3599
15,3482,3849
15,3740,4109
15,3996,4375
15,4259,4634
15,4519,4888
15,4776,5147
15,5033,5403
15,5290,5663
15,5547,5919
15,5806,6172
15,6062,6434
15,6319,6691
15,6579,7190
15,6749,7453
15,7088,7708
15,7344,7964
15,7599,8220
15,7852,8468
15,8102,8718
15,8352,8972
15,8603,9221
15,8857,9481
15,9111,9736
15,9367,9995
15,9622,10247
15,9882,10507
15,10137,10767
15,10397,11031
15,10653,11288
15,10913,11548
15,11174,11804
15,11433,12066
15,11690,12328
15,11954,12589
15,12216,12858
15,12477,13113
15,12743,13377
15,13003,13639
15,13263,13904
15,13526,14160
15,13787,14423
15,14047,14687
15,14308,15192
15,14573,
15,14744,
15,15088,
15,15349,
16,239,97
16,493,346
16,745,603
16,1004,861
16,1259,1115
16,1516,1368
16,1779,1629
16,2038,1894
16,2297,2153
16,2562,2413
16,2744,2674
16,3079,3189
16,3343,3456
16,3601,3716
16,3855,3967
16,4110,4227
16,4366,4479
16,4623,4729
16,4874,4971
16,5119,5219
16,5361,5470
16,5601,5714
16,5854,5958
16,6104,6205
16,6355,6464
16,6613,6727
16,6870,6988
16,7125,7233
16,7380,7483
16,7638,7749
16,7895,7993
16,8150,8243
16,8405,8508
16,8660,8777
16,8919,9027
16,9177,9285
16,9433,9545
16,9691,9803
16,9947,10057
16,10200,10305
16,10451,10564
16,10705,10822
16,10961,11078
16,11217,11331
16,11475,11594
16,11730,11842
16,11986,12104
16,12246,12363
16,12503,12621
16,12761,12877
16,13017,13135
16,13274,13395
16,13533,13647
16,13789,13901
16,14045,14159
16,14305,14417
16,14564,14675
16,14819,14932
16,15074,15190
16,15331,
17,230,83
17,486,343
17,745,602
17,1005,857
17,1262,1124
17,1520,1374
17,1772,1631
17,2026,1882
17,3054,2137
17,4820,2395
17,5535,2649
17,5603,2910
17,5676,3166
17,5772,3422
17,5939,3687
17,6243,3941
17,6717,4200
17,6956,4446
17,7195,4688
17,7434,4926
17,7680,5179
17,7931,5393
17,8182,5634
17,8438,5859
17,8691,6108
17,9192,6338
