sample_index,ch1_raw,ch1_squared,ch1_absval,ch1_unfiltered,ch2_raw,ch2_squared,ch2_absval,ch2_unfiltered,ch3_raw,ch3_squared,ch3_absval,ch3_unfiltered,ppg
n_contributing,120,120,120,120,0,0,0,0,0,0,0,0,120
794,-0.100720373,0.0735408497,0.10981981,-0.100720373,,,,,,,,,-0.0875878251
795,-0.10067543,0.0704067422,0.109323381,-0.10067543,,,,,,,,,-0.0869198149
796,-0.100408929,0.0699042393,0.110084508,-0.100408929,,,,,,,,,-0.0870793516
797,-0.101859128,0.0681458865,0.110268661,-0.101859128,,,,,,,,,-0.0873052749
798,-0.104075184,0.0638563025,0.109391749,-0.104075184,,,,,,,,,-0.0874679985
799,-0.10586603,0.0604855134,0.107983616,-0.10586603,,,,,,,,,-0.08752636
800,-0.108281802,0.0586804819,0.107283529,-0.108281802,,,,,,,,,-0.0874452719
801,-0.108704114,0.0595233677,0.10675135,-0.108704114,,,,,,,,,-0.0872802606
802,-0.108985281,0.0602096067,0.108458857,-0.108985281,,,,,,,,,-0.087423896
803,-0.110423908,0.0565093438,0.105585476,-0.110423908,,,,,,,,,-0.0877340136
804,-0.111339722,0.0564850187,0.105190221,-0.111339722,,,,,,,,,-0.0879284029
805,-0.117090697,0.0551976377,0.104674489,-0.117090697,,,,,,,,,-0.0879865586
806,-0.11853486,0.0547779384,0.104943958,-0.11853486,,,,,,,,,-0.087897243
807,-0.121715174,0.0555076757,0.107480655,-0.121715174,,,,,,,,,-0.0879259949
808,-0.1223403,0.0568434095,0.107746629,-0.1223403,,,,,,,,,-0.0868021665
809,-0.124753668,0.0554342061,0.10792148,-0.124753668,,,,,,,,,-0.0869834907
810,-0.127086189,0.0531809665,0.107135737,-0.127086189,,,,,,,,,-0.0863214524
811,-0.128960659,0.0538644213,0.106446346,-0.128960659,,,,,,,,,-0.0865197894
812,-0.13121915,0.0525468145,0.107546237,-0.13121915,,,,,,,,,-0.0870628543
813,-0.132451032,0.0514391182,0.107710536,-0.132451032,,,,,,,,,-0.0871937602
814,-0.133861952,0.0511993789,0.10804912,-0.133861952,,,,,,,,,-0.0872592458
815,-0.135499614,0.0520467724,0.110555822,-0.135499614,,,,,,,,,-0.0873637706
816,-0.135909412,0.0508443934,0.111760854,-0.135909412,,,,,,,,,-0.0873969455
817,-0.137643433,0.0502206542,0.112562324,-0.137643433,,,,,,,,,-0.0871762497
818,-0.13910842,0.0496370712,0.112654172,-0.13910842,,,,,,,,,-0.0872478558
819,-0.139647813,0.0506504426,0.112602589,-0.139647813,,,,,,,,,-0.0869665075
820,-0.139112113,0.0499067329,0.112985206,-0.139112113,,,,,,,,,-0.0869751784
821,-0.141297837,0.0499776355,0.113950242,-0.141297837,,,,,,,,,-0.087515543
822,-0.143674052,0.0494118812,0.11318973,-0.143674052,,,,,,,,,-0.0876993224
823,-0.14328317,0.049938154,0.114964588,-0.14328317,,,,,,,,,-0.0876484405
